Stock Symbol,Entry Time,Exit Time,Exit Reason,Profit (%)
JNKINDIA,09:25,10:11,45-MIN EXIT,0.84%
SERVOTECH,09:25,09:42,STOP LOSS HIT,-1.3%
VIJAYA,09:25,09:32,STOP LOSS HIT,-1.3%
GKSL,09:25,09:33,STOP LOSS HIT,-1.3%
GALAPREC,09:25,09:37,STOP LOSS HIT,-1.3%
EIEL,09:25,09:32,STOP LOSS HIT,-1.3%
JUBLCPL,09:25,09:39,45-MIN EXIT,0.15%
EMMVEE,09:25,09:41,45-MIN EXIT,0.46%
AWFIS,09:35,10:21,45-MIN EXIT,0.39%
JINDWORLD,09:35,09:38,45-MIN EXIT,0.88%
VINDHYATEL,09:35,10:02,45-MIN EXIT,1.49%
AEGISLOG,09:40,10:06,STOP LOSS HIT,-1.3%
IGPL,09:40,09:47,STOP LOSS HIT,-1.3%
INOXGREEN,09:45,10:31,45-MIN EXIT,1.18%
ASTRAMICRO,09:45,10:31,45-MIN EXIT,0.02%
WELCORP,09:45,10:31,45-MIN EXIT,0.18%
CRAFTSMAN,09:50,09:58,STOP LOSS HIT,-1.3%
ADANIGREEN,10:00,10:46,45-MIN EXIT,0.06%
LLOYDSENGG,10:05,10:47,45-MIN EXIT,1.73%
KRISHNADEF,10:10,10:42,STOP LOSS HIT,-1.3%
ARIS,10:15,11:01,45-MIN EXIT,-0.5%
CORONA,10:25,11:11,45-MIN EXIT,0.69%
IGPL,10:35,11:21,STOP LOSS HIT,-1.3%
VIYASH,10:35,10:48,STOP LOSS HIT,-1.3%
EXPLEOSOL,10:40,10:48,STOP LOSS HIT,-1.3%
GUFICBIO,10:45,11:31,45-MIN EXIT,-0.38%
YASHO,10:50,11:36,45-MIN EXIT,-0.86%
KIMS,10:50,11:36,45-MIN EXIT,1.74%
VINCOFE,10:50,11:36,45-MIN EXIT,1.05%
SAMBHV,10:55,10:59,STOP LOSS HIT,-1.3%
PCJEWELLER,11:00,11:46,45-MIN EXIT,0.0%
ITDC,11:05,11:52,45-MIN EXIT,0.62%
NORTHARC,11:15,11:23,STOP LOSS HIT,-1.3%
MEDANTA,11:25,12:11,45-MIN EXIT,-0.04%
MIRCELECTR,11:25,11:33,TSL / MOMENTUM,2.62%
NRBBEARING,11:35,12:21,45-MIN EXIT,-0.17%
IDEA,11:35,12:21,45-MIN EXIT,0.25%
ADANIGREEN,11:40,12:26,45-MIN EXIT,0.04%
PRABHA,11:40,12:27,TSL / MOMENTUM,5.64%
RATNAMANI,11:40,12:26,45-MIN EXIT,0.76%
DIGITIDE,11:50,12:13,STOP LOSS HIT,-1.3%
PRABHA,11:55,12:41,TSL / MOMENTUM,3.68%
OMNI,12:15,12:33,TSL / MOMENTUM,2.76%
NEPHROPLUS,12:15,13:02,45-MIN EXIT,0.61%
ALOKINDS,12:25,13:11,45-MIN EXIT,-0.7%
VENKEYS,12:25,13:11,45-MIN EXIT,-0.31%
SOLARWORLD,12:30,13:16,TSL / MOMENTUM,5.11%
ESAFSFB,12:30,13:05,45-MIN EXIT,0.55%
SAKSOFT,12:30,13:18,45-MIN EXIT,-0.67%
IOLCP,12:35,12:56,TSL / MOMENTUM,2.84%
CORONA,12:45,13:06,STOP LOSS HIT,-1.3%
RAMCOSYS,13:00,13:47,45-MIN EXIT,-0.41%
SIRCA,13:05,13:51,45-MIN EXIT,0.53%
ONEPOINT,13:05,13:51,45-MIN EXIT,0.28%
NAVNETEDUL,13:10,13:57,45-MIN EXIT,-0.22%
PVRINOX,13:15,13:51,STOP LOSS HIT,-1.3%
LLOYDSENT,13:25,14:11,45-MIN EXIT,0.0%
JINDWORLD,13:25,13:38,STOP LOSS HIT,-1.3%
BETA,13:25,14:12,STOP LOSS HIT,-1.3%
GUFICBIO,13:40,14:26,45-MIN EXIT,-0.05%
IBULLSLTD,13:50,14:14,TSL / MOMENTUM,2.05%
IBULLSLTD,13:55,14:41,45-MIN EXIT,0.19%
RATEGAIN,13:55,14:39,TSL / MOMENTUM,5.74%
BANCOINDIA,13:55,14:41,45-MIN EXIT,-0.34%
VENKEYS,14:00,14:46,45-MIN EXIT,0.52%
MANYAVAR,14:15,14:56,STOP LOSS HIT,-1.3%
MAPMYINDIA,14:15,15:01,45-MIN EXIT,0.36%
JINDWORLD,14:15,14:28,STOP LOSS HIT,-1.3%
AMBUJACEM,14:30,15:18,45-MIN EXIT,-0.69%
SSWL,14:30,15:09,STOP LOSS HIT,-1.3%
NORTHARC,14:40,15:12,STOP LOSS HIT,-1.3%
NORTHARC,14:45,15:11,STOP LOSS HIT,-1.3%
ONEPOINT,14:45,15:13,STOP LOSS HIT,-1.3%
SEIL,14:50,15:11,STOP LOSS HIT,-1.3%
CIEINDIA,15:00,15:22,45-MIN EXIT,0.26%
SIRCA,15:10,15:29,45-MIN EXIT,-0.24%
SPECTRUM,15:10,15:29,45-MIN EXIT,-0.12%
GKSL,15:15,15:29,45-MIN EXIT,0.01%
TBOTEK,15:15,15:29,45-MIN EXIT,-0.08%
JASH,15:15,15:29,45-MIN EXIT,0.29%
VERANDA,15:20,15:29,STOP LOSS HIT,-1.3%
HGINFRA,15:20,15:29,45-MIN EXIT,0.0%
ACMESOLAR,15:25,15:29,45-MIN EXIT,1.29%
